;Activity;Hour
738;breakfast_Workaholic;7.35
739;lunch_Workaholic;12.75
740;work_Workaholic;8.783333333333333
741;sleep_Workaholic;23.0
742;breakfast_Workaholic;7.166666666666667
743;lunch_Workaholic;12.2
744;dinner_Workaholic;19.516666666666666
745;sleep_Workaholic;23.0
746;breakfast_Workaholic;7.383333333333334
747;lunch_Workaholic;12.566666666666666
748;work_Workaholic;8.95
749;sleep_Workaholic;23.0
750;breakfast_Workaholic;7.133333333333334
751;lunch_Workaholic;12.15
752;work_Workaholic;8.183333333333334
753;sleep_Workaholic;23.0
754;breakfast_Workaholic;7.466666666666667
755;lunch_Workaholic;12.133333333333333
756;work_Workaholic;8.783333333333333
757;sleep_Workaholic;23.0
758;breakfast_Workaholic;7.2
759;lunch_Workaholic;12.916666666666666
760;work_Workaholic;8.916666666666666
761;sleep_Workaholic;23.0
762;breakfast_Workaholic;7.266666666666667
763;lunch_Workaholic;12.6
764;work_Workaholic;8.683333333333334
765;dinner_Workaholic;19.216666666666665
766;sleep_Workaholic;23.0
767;breakfast_Workaholic;7.166666666666667
768;lunch_Workaholic;12.2
769;work_Workaholic;8.05
770;dinner_Workaholic;19.116666666666667
771;sleep_Workaholic;23.0
772;breakfast_Workaholic;7.25
773;lunch_Workaholic;12.866666666666667
774;dinner_Workaholic;19.983333333333334
775;sleep_Workaholic;23.0
776;breakfast_Workaholic;7.35
777;lunch_Workaholic;12.633333333333333
778;work_Workaholic;8.6
779;sleep_Workaholic;23.0
780;breakfast_Workaholic;7.1
781;lunch_Workaholic;12.466666666666667
782;work_Workaholic;8.2
783;dinner_Workaholic;19.216666666666665
784;sleep_Workaholic;23.0
785;breakfast_Workaholic;7.366666666666666
786;lunch_Workaholic;12.266666666666667
787;work_Workaholic;8.3
788;sleep_Workaholic;23.0
789;breakfast_Workaholic;7.033333333333333
790;lunch_Workaholic;12.916666666666666
791;work_Workaholic;8.466666666666667
792;sleep_Workaholic;23.0
793;workout_Workaholic;7.0
794;lunch_Workaholic;12.45
795;work_Workaholic;8.2
796;dinner_Workaholic;18.85
797;sleep_Workaholic;23.0
798;breakfast_Workaholic;7.05
799;lunch_Workaholic;12.916666666666666
800;work_Workaholic;8.05
801;dinner_Workaholic;19.7
802;sleep_Workaholic;23.0
803;breakfast_Workaholic;7.033333333333333
804;lunch_Workaholic;12.483333333333333
805;dinner_Workaholic;18.45
806;sleep_Workaholic;23.0
807;breakfast_Workaholic;7.4
808;lunch_Workaholic;12.266666666666667
809;work_Workaholic;8.6
810;sleep_Workaholic;23.0
811;breakfast_Workaholic;7.316666666666666
812;lunch_Workaholic;12.9
813;work_Workaholic;8.616666666666667
814;sleep_Workaholic;23.0
815;breakfast_Workaholic;7.316666666666666
